Практика,Кол-во студентов,Корр оценка-время,p-value (оценка-время),Корр оценка-опоздание,p-value (оценка-опоздание)
1,23,0.16867872828080852,0.44166773302306256,-0.060551363491181856,0.7837376451767909
3,23,0.15526713531134362,0.4793069845186601,-0.19521061438103032,0.3720606688557578
4,22,-0.0979906413027161,0.6644084137236099,-0.3184043689499479,0.14868972598376873
5,21,-0.6148832440757395,0.003013855024320982,-0.5106222232140127,0.018015317865359617
6,11,-0.029466671136049845,0.9314648688242008,-0.15519358986115347,0.6486478925714975
7,21,0.24942061662484372,0.2755599359339161,0.10050154105650916,0.6646842601942945
8,14,-0.06645865582642635,0.8214116762632249,-0.24574894588461021,0.39706195070196415
9,21,0.24463661604785142,0.28517523281991664,-0.3192368447449655,0.15836988845087616
10,21,0.3002614354001241,0.18600917894455918,-0.3187218282627019,0.15907997563252402
11,14,-0.07392584522627334,0.8016912855700349,-0.2889830119907799,0.3163151969830086
12,22,0.12768378161239766,0.5712185772225835,0.04867178048472215,0.829695550244497
13,12,0.42763713749658927,0.16553036005236116,-0.19566849963302968,0.54222151563062
14,21,-0.034197530425596895,0.8830063736853585,0.0,0.999999999999999
15,15,,,,
