ID_Студента,Последовательность,Кластер,Расстояние_Хэмминга
1,3454Н4Н54Н4Н3Н,0,12
2,34553455444443,3,10
3,244434254Н5Н4Н,0,12
4,344Н4ННННН5Н4Н,0,13
5,2445Н435334543,2,11
6,3445Н5Н43Н5Н4Н,0,11
7,2444Н535425343,2,11
8,3445Н5Н53Н5Н43,0,10
9,2435Н3Н44Н4Н4Н,0,13
10,35544444455453,1,9
11,44555455454443,3,8
12,45422455445353,1,9
13,25343525434Н33,1,11
14,24Н4Н435455343,2,11
15,3443Н4554Н5343,2,11
16,24552455445443,3,9
17,244533Н5355Н43,0,10
18,3453Н5Н53Н4Н4Н,0,11
19,34533425435543,2,10
20,34453435435443,2,11
21,3434Н5НН445ННН,0,12
22,3443Н425345443,2,12
23,234НННН5НННННН,0,13
